tollgate_id,direction,volume,time_window
3,0,50,2016-10-26 06:20:00
3,1,36,2016-10-26 06:20:00
1,0,25,2016-10-26 06:40:00
1,1,57,2016-10-26 06:40:00
2,0,39,2016-10-26 06:40:00
3,0,73,2016-10-26 06:40:00
3,1,41,2016-10-26 06:40:00
1,0,31,2016-10-26 07:00:00
1,1,68,2016-10-26 07:00:00
2,0,73,2016-10-26 07:00:00
3,0,123,2016-10-26 07:00:00
3,1,50,2016-10-26 07:00:00
1,0,31,2016-10-26 07:20:00
1,1,94,2016-10-26 07:20:00
2,0,86,2016-10-26 07:20:00
3,0,116,2016-10-26 07:20:00
3,1,78,2016-10-26 07:20:00
1,0,45,2016-10-26 07:40:00
1,1,105,2016-10-26 07:40:00
2,0,94,2016-10-26 07:40:00
3,0,134,2016-10-26 07:40:00
3,1,85,2016-10-26 07:40:00
1,0,38,2016-10-26 15:00:00
1,1,91,2016-10-26 15:00:00
2,0,71,2016-10-26 15:00:00
3,0,111,2016-10-26 15:00:00
3,1,77,2016-10-26 15:00:00
1,0,35,2016-10-26 15:20:00
1,1,93,2016-10-26 15:20:00
2,0,58,2016-10-26 15:20:00
3,0,101,2016-10-26 15:20:00
3,1,78,2016-10-26 15:20:00
1,0,44,2016-10-26 15:40:00
1,1,99,2016-10-26 15:40:00
2,0,73,2016-10-26 15:40:00
3,0,108,2016-10-26 15:40:00
3,1,77,2016-10-26 15:40:00
1,0,49,2016-10-26 16:00:00
1,1,105,2016-10-26 16:00:00
2,0,67,2016-10-26 16:00:00
3,0,121,2016-10-26 16:00:00
3,1,80,2016-10-26 16:00:00
1,0,45,2016-10-26 16:20:00
1,1,108,2016-10-26 16:20:00
2,0,80,2016-10-26 16:20:00
3,0,129,2016-10-26 16:20:00
3,1,91,2016-10-26 16:20:00
1,0,45,2016-10-26 16:40:00
1,1,103,2016-10-26 16:40:00
2,0,89,2016-10-26 16:40:00
3,0,121,2016-10-26 16:40:00
3,1,118,2016-10-26 16:40:00
1,0,14,2016-10-27 06:00:00
1,1,37,2016-10-27 06:00:00
2,0,20,2016-10-27 06:00:00
3,0,23,2016-10-27 06:00:00
3,1,24,2016-10-27 06:00:00
1,0,14,2016-10-27 06:20:00
1,1,46,2016-10-27 06:20:00
2,0,36,2016-10-27 06:20:00
3,0,40,2016-10-27 06:20:00
3,1,25,2016-10-27 06:20:00
1,0,22,2016-10-27 06:40:00
1,1,51,2016-10-27 06:40:00
2,0,50,2016-10-27 06:40:00
3,0,61,2016-10-27 06:40:00
3,1,49,2016-10-27 06:40:00
1,0,20,2016-10-27 07:00:00
1,1,61,2016-10-27 07:00:00
2,0,68,2016-10-27 07:00:00
3,0,116,2016-10-27 07:00:00
3,1,51,2016-10-27 07:00:00
1,0,36,2016-10-27 07:20:00
1,1,92,2016-10-27 07:20:00
2,0,80,2016-10-27 07:20:00
3,0,107,2016-10-27 07:20:00
3,1,89,2016-10-27 07:20:00
1,0,42,2016-10-27 07:40:00
1,1,99,2016-10-27 07:40:00
2,0,113,2016-10-27 07:40:00
3,0,126,2016-10-27 07:40:00
3,1,84,2016-10-27 07:40:00
1,0,39,2016-10-27 15:00:00
1,1,84,2016-10-27 15:00:00
2,0,58,2016-10-27 15:00:00
3,0,104,2016-10-27 15:00:00
3,1,96,2016-10-27 15:00:00
1,0,37,2016-10-27 15:20:00
1,1,98,2016-10-27 15:20:00
2,0,53,2016-10-27 15:20:00
3,0,90,2016-10-27 15:20:00
3,1,87,2016-10-27 15:20:00
1,0,45,2016-10-27 15:40:00
1,1,95,2016-10-27 15:40:00
2,0,79,2016-10-27 15:40:00
3,0,98,2016-10-27 15:40:00
3,1,78,2016-10-27 15:40:00
1,0,49,2016-10-27 16:00:00
1,1,93,2016-10-27 16:00:00
2,0,57,2016-10-27 16:00:00
3,0,107,2016-10-27 16:00:00
3,1,102,2016-10-27 16:00:00
1,0,41,2016-10-27 16:20:00
1,1,89,2016-10-27 16:20:00
2,0,72,2016-10-27 16:20:00
3,0,118,2016-10-27 16:20:00
3,1,106,2016-10-27 16:20:00
1,0,45,2016-10-27 16:40:00
1,1,101,2016-10-27 16:40:00
2,0,80,2016-10-27 16:40:00
3,0,117,2016-10-27 16:40:00
3,1,113,2016-10-27 16:40:00
1,0,8,2016-10-28 06:00:00
1,1,35,2016-10-28 06:00:00
2,0,18,2016-10-28 06:00:00
3,0,25,2016-10-28 06:00:00
3,1,19,2016-10-28 06:00:00
1,0,21,2016-10-28 06:20:00
1,1,55,2016-10-28 06:20:00
2,0,23,2016-10-28 06:20:00
3,0,51,2016-10-28 06:20:00
3,1,19,2016-10-28 06:20:00
1,0,14,2016-10-28 06:40:00
1,1,65,2016-10-28 06:40:00
2,0,51,2016-10-28 06:40:00
3,0,69,2016-10-28 06:40:00
3,1,50,2016-10-28 06:40:00
1,0,28,2016-10-28 07:00:00
1,1,83,2016-10-28 07:00:00
2,0,65,2016-10-28 07:00:00
3,0,115,2016-10-28 07:00:00
3,1,52,2016-10-28 07:00:00
1,0,37,2016-10-28 07:20:00
1,1,96,2016-10-28 07:20:00
2,0,97,2016-10-28 07:20:00
3,0,98,2016-10-28 07:20:00
3,1,57,2016-10-28 07:20:00
1,0,46,2016-10-28 07:40:00
1,1,110,2016-10-28 07:40:00
2,0,94,2016-10-28 07:40:00
3,0,143,2016-10-28 07:40:00
3,1,77,2016-10-28 07:40:00
1,0,62,2016-10-28 15:00:00
1,1,96,2016-10-28 15:00:00
2,0,86,2016-10-28 15:00:00
3,0,136,2016-10-28 15:00:00
3,1,126,2016-10-28 15:00:00
1,0,48,2016-10-28 15:20:00
1,1,116,2016-10-28 15:20:00
2,0,94,2016-10-28 15:20:00
3,0,141,2016-10-28 15:20:00
3,1,119,2016-10-28 15:20:00
1,0,56,2016-10-28 15:40:00
1,1,106,2016-10-28 15:40:00
2,0,104,2016-10-28 15:40:00
3,0,168,2016-10-28 15:40:00
3,1,100,2016-10-28 15:40:00
1,0,78,2016-10-28 16:00:00
1,1,130,2016-10-28 16:00:00
2,0,81,2016-10-28 16:00:00
3,0,148,2016-10-28 16:00:00
3,1,95,2016-10-28 16:00:00
1,0,66,2016-10-28 16:20:00
1,1,102,2016-10-28 16:20:00
2,0,93,2016-10-28 16:20:00
3,0,148,2016-10-28 16:20:00
3,1,103,2016-10-28 16:20:00
1,0,57,2016-10-28 16:40:00
1,1,107,2016-10-28 16:40:00
2,0,108,2016-10-28 16:40:00
3,0,138,2016-10-28 16:40:00
3,1,90,2016-10-28 16:40:00
1,0,11,2016-10-29 06:00:00
1,1,32,2016-10-29 06:00:00
2,0,23,2016-10-29 06:00:00
3,0,26,2016-10-29 06:00:00
3,1,13,2016-10-29 06:00:00
1,0,17,2016-10-29 06:20:00
1,1,39,2016-10-29 06:20:00
2,0,42,2016-10-29 06:20:00
3,0,38,2016-10-29 06:20:00
3,1,28,2016-10-29 06:20:00
1,0,19,2016-10-29 06:40:00
1,1,58,2016-10-29 06:40:00
2,0,40,2016-10-29 06:40:00
3,0,58,2016-10-29 06:40:00
3,1,32,2016-10-29 06:40:00
1,0,27,2016-10-29 07:00:00
1,1,57,2016-10-29 07:00:00
2,0,34,2016-10-29 07:00:00
3,0,65,2016-10-29 07:00:00
3,1,52,2016-10-29 07:00:00
1,0,37,2016-10-29 07:20:00
1,1,78,2016-10-29 07:20:00
2,0,53,2016-10-29 07:20:00
3,0,74,2016-10-29 07:20:00
3,1,63,2016-10-29 07:20:00
1,0,23,2016-10-29 07:40:00
1,1,86,2016-10-29 07:40:00
2,0,59,2016-10-29 07:40:00
3,0,91,2016-10-29 07:40:00
3,1,64,2016-10-29 07:40:00
1,0,60,2016-10-29 15:00:00
1,1,94,2016-10-29 15:00:00
2,0,91,2016-10-29 15:00:00
3,0,123,2016-10-29 15:00:00
3,1,79,2016-10-29 15:00:00
1,0,48,2016-10-29 15:20:00
1,1,70,2016-10-29 15:20:00
2,0,77,2016-10-29 15:20:00
3,0,115,2016-10-29 15:20:00
3,1,75,2016-10-29 15:20:00
1,0,51,2016-10-29 15:40:00
1,1,83,2016-10-29 15:40:00
2,0,81,2016-10-29 15:40:00
3,0,109,2016-10-29 15:40:00
3,1,100,2016-10-29 15:40:00
1,0,47,2016-10-29 16:00:00
1,1,98,2016-10-29 16:00:00
2,0,75,2016-10-29 16:00:00
3,0,121,2016-10-29 16:00:00
3,1,97,2016-10-29 16:00:00
1,0,62,2016-10-29 16:20:00
1,1,90,2016-10-29 16:20:00
2,0,78,2016-10-29 16:20:00
3,0,131,2016-10-29 16:20:00
3,1,88,2016-10-29 16:20:00
1,0,48,2016-10-29 16:40:00
1,1,105,2016-10-29 16:40:00
2,0,79,2016-10-29 16:40:00
3,0,92,2016-10-29 16:40:00
3,1,74,2016-10-29 16:40:00
1,0,18,2016-10-30 06:00:00
1,1,42,2016-10-30 06:00:00
2,0,5,2016-10-30 06:00:00
3,0,15,2016-10-30 06:00:00
3,1,21,2016-10-30 06:00:00
1,0,25,2016-10-30 06:20:00
1,1,42,2016-10-30 06:20:00
2,0,3,2016-10-30 06:20:00
3,0,37,2016-10-30 06:20:00
3,1,33,2016-10-30 06:20:00
1,0,30,2016-10-30 06:40:00
1,1,56,2016-10-30 06:40:00
2,0,6,2016-10-30 06:40:00
3,0,55,2016-10-30 06:40:00
3,1,25,2016-10-30 06:40:00
1,0,49,2016-10-30 07:00:00
1,1,64,2016-10-30 07:00:00
2,0,6,2016-10-30 07:00:00
3,0,68,2016-10-30 07:00:00
3,1,60,2016-10-30 07:00:00
1,0,40,2016-10-30 07:20:00
1,1,68,2016-10-30 07:20:00
2,0,11,2016-10-30 07:20:00
3,0,77,2016-10-30 07:20:00
3,1,58,2016-10-30 07:20:00
1,0,73,2016-10-30 07:40:00
1,1,63,2016-10-30 07:40:00
2,0,16,2016-10-30 07:40:00
3,0,84,2016-10-30 07:40:00
3,1,60,2016-10-30 07:40:00
1,0,120,2016-10-30 15:00:00
1,1,109,2016-10-30 15:00:00
2,0,13,2016-10-30 15:00:00
3,0,145,2016-10-30 15:00:00
3,1,157,2016-10-30 15:00:00
1,0,124,2016-10-30 15:20:00
1,1,118,2016-10-30 15:20:00
2,0,25,2016-10-30 15:20:00
3,0,143,2016-10-30 15:20:00
3,1,119,2016-10-30 15:20:00
1,0,150,2016-10-30 15:40:00
1,1,118,2016-10-30 15:40:00
2,0,26,2016-10-30 15:40:00
3,0,123,2016-10-30 15:40:00
3,1,140,2016-10-30 15:40:00
1,0,114,2016-10-30 16:00:00
1,1,99,2016-10-30 16:00:00
2,0,13,2016-10-30 16:00:00
3,0,123,2016-10-30 16:00:00
3,1,98,2016-10-30 16:00:00
1,0,110,2016-10-30 16:20:00
1,1,101,2016-10-30 16:20:00
2,0,27,2016-10-30 16:20:00
3,0,125,2016-10-30 16:20:00
3,1,130,2016-10-30 16:20:00
1,0,108,2016-10-30 16:40:00
1,1,121,2016-10-30 16:40:00
2,0,19,2016-10-30 16:40:00
3,0,113,2016-10-30 16:40:00
3,1,97,2016-10-30 16:40:00
1,0,27,2016-10-31 06:00:00
1,1,36,2016-10-31 06:00:00
2,0,10,2016-10-31 06:00:00
3,0,26,2016-10-31 06:00:00
3,1,22,2016-10-31 06:00:00
1,0,54,2016-10-31 06:20:00
1,1,45,2016-10-31 06:20:00
2,0,10,2016-10-31 06:20:00
3,0,53,2016-10-31 06:20:00
3,1,28,2016-10-31 06:20:00
1,0,59,2016-10-31 06:40:00
1,1,73,2016-10-31 06:40:00
2,0,14,2016-10-31 06:40:00
3,0,79,2016-10-31 06:40:00
3,1,48,2016-10-31 06:40:00
1,0,94,2016-10-31 07:00:00
1,1,86,2016-10-31 07:00:00
2,0,37,2016-10-31 07:00:00
3,0,138,2016-10-31 07:00:00
3,1,65,2016-10-31 07:00:00
1,0,96,2016-10-31 07:20:00
1,1,96,2016-10-31 07:20:00
2,0,42,2016-10-31 07:20:00
3,0,162,2016-10-31 07:20:00
3,1,86,2016-10-31 07:20:00
1,0,104,2016-10-31 07:40:00
1,1,111,2016-10-31 07:40:00
2,0,58,2016-10-31 07:40:00
3,0,156,2016-10-31 07:40:00
3,1,104,2016-10-31 07:40:00
1,0,92,2016-10-31 15:00:00
1,1,91,2016-10-31 15:00:00
2,0,13,2016-10-31 15:00:00
3,0,107,2016-10-31 15:00:00
3,1,80,2016-10-31 15:00:00
1,0,91,2016-10-31 15:20:00
1,1,100,2016-10-31 15:20:00
2,0,17,2016-10-31 15:20:00
3,0,94,2016-10-31 15:20:00
3,1,86,2016-10-31 15:20:00
1,0,86,2016-10-31 15:40:00
1,1,105,2016-10-31 15:40:00
2,0,13,2016-10-31 15:40:00
3,0,92,2016-10-31 15:40:00
3,1,80,2016-10-31 15:40:00
1,0,84,2016-10-31 16:00:00
1,1,94,2016-10-31 16:00:00
2,0,19,2016-10-31 16:00:00
3,0,125,2016-10-31 16:00:00
3,1,72,2016-10-31 16:00:00
1,0,89,2016-10-31 16:20:00
1,1,99,2016-10-31 16:20:00
2,0,12,2016-10-31 16:20:00
3,0,105,2016-10-31 16:20:00
3,1,86,2016-10-31 16:20:00
1,0,88,2016-10-31 16:40:00
1,1,97,2016-10-31 16:40:00
2,0,17,2016-10-31 16:40:00
3,0,102,2016-10-31 16:40:00
3,1,66,2016-10-31 16:40:00
