,date,min_volume_weekday,max_volume_weekday,mediana_volume_weekday,media_volume_weekday,desvio_padrao_weekday
82,2016-09-19,13,13,13.0,13.0,13.0
83,2016-09-19,57,57,57.0,57.0,57.0
84,2016-09-19,36,36,36.0,36.0,36.0
85,2016-09-19,58,58,58.0,58.0,58.0
86,2016-09-19,38,38,38.0,38.0,38.0
87,2016-09-19,32,32,32.0,32.0,32.0
88,2016-09-19,72,72,72.0,72.0,72.0
89,2016-09-19,37,37,37.0,37.0,37.0
90,2016-09-19,71,71,71.0,71.0,71.0
91,2016-09-19,65,65,65.0,65.0,65.0
92,2016-09-19,39,39,39.0,39.0,39.0
93,2016-09-19,70,70,70.0,70.0,70.0
94,2016-09-19,84,84,84.0,84.0,84.0
95,2016-09-19,127,127,127.0,127.0,127.0
96,2016-09-19,67,67,67.0,67.0,67.0
97,2016-09-19,31,31,31.0,31.0,31.0
98,2016-09-19,83,83,83.0,83.0,83.0
99,2016-09-19,80,80,80.0,80.0,80.0
100,2016-09-19,123,123,123.0,123.0,123.0
101,2016-09-19,71,71,71.0,71.0,71.0
102,2016-09-19,43,43,43.0,43.0,43.0
103,2016-09-19,118,118,118.0,118.0,118.0
104,2016-09-19,97,97,97.0,97.0,97.0
105,2016-09-19,153,153,153.0,153.0,153.0
106,2016-09-19,103,103,103.0,103.0,103.0
107,2016-09-19,46,46,46.0,46.0,46.0
108,2016-09-19,123,123,123.0,123.0,123.0
109,2016-09-19,129,129,129.0,129.0,129.0
110,2016-09-19,161,161,161.0,161.0,161.0
111,2016-09-19,118,118,118.0,118.0,118.0
112,2016-09-19,56,56,56.0,56.0,56.0
113,2016-09-19,119,119,119.0,119.0,119.0
114,2016-09-19,122,122,122.0,122.0,122.0
115,2016-09-19,167,167,167.0,167.0,167.0
116,2016-09-19,168,168,168.0,168.0,168.0
117,2016-09-19,41,41,41.0,41.0,41.0
118,2016-09-19,116,116,116.0,116.0,116.0
119,2016-09-19,98,98,98.0,98.0,98.0
120,2016-09-19,138,138,138.0,138.0,138.0
121,2016-09-19,161,161,161.0,161.0,161.0
122,2016-09-19,50,50,50.0,50.0,50.0
123,2016-09-19,120,120,120.0,120.0,120.0
124,2016-09-19,89,89,89.0,89.0,89.0
125,2016-09-19,174,174,174.0,174.0,174.0
126,2016-09-19,145,145,145.0,145.0,145.0
127,2016-09-19,49,49,49.0,49.0,49.0
128,2016-09-19,151,151,151.0,151.0,151.0
129,2016-09-19,78,78,78.0,78.0,78.0
130,2016-09-19,144,144,144.0,144.0,144.0
131,2016-09-19,125,125,125.0,125.0,125.0
132,2016-09-19,44,44,44.0,44.0,44.0
133,2016-09-19,131,131,131.0,131.0,131.0
134,2016-09-19,59,59,59.0,59.0,59.0
135,2016-09-19,148,148,148.0,148.0,148.0
136,2016-09-19,116,116,116.0,116.0,116.0
137,2016-09-19,44,44,44.0,44.0,44.0
138,2016-09-19,101,101,101.0,101.0,101.0
139,2016-09-19,71,71,71.0,71.0,71.0
140,2016-09-19,104,104,104.0,104.0,104.0
141,2016-09-19,117,117,117.0,117.0,117.0
142,2016-09-19,44,44,44.0,44.0,44.0
143,2016-09-19,105,105,105.0,105.0,105.0
144,2016-09-19,88,88,88.0,88.0,88.0
145,2016-09-19,111,111,111.0,111.0,111.0
146,2016-09-19,87,87,87.0,87.0,87.0
147,2016-09-19,44,44,44.0,44.0,44.0
148,2016-09-19,102,102,102.0,102.0,102.0
149,2016-09-19,65,65,65.0,65.0,65.0
150,2016-09-19,122,122,122.0,122.0,122.0
151,2016-09-19,85,85,85.0,85.0,85.0
152,2016-09-19,39,39,39.0,39.0,39.0
153,2016-09-19,86,86,86.0,86.0,86.0
154,2016-09-19,50,50,50.0,50.0,50.0
155,2016-09-19,111,111,111.0,111.0,111.0
156,2016-09-19,73,73,73.0,73.0,73.0
157,2016-09-19,30,30,30.0,30.0,30.0
158,2016-09-19,76,76,76.0,76.0,76.0
159,2016-09-19,61,61,61.0,61.0,61.0
160,2016-09-19,82,82,82.0,82.0,82.0
161,2016-09-19,72,72,72.0,72.0,72.0
162,2016-09-19,34,34,34.0,34.0,34.0
163,2016-09-19,100,100,100.0,100.0,100.0
164,2016-09-19,46,46,46.0,46.0,46.0
165,2016-09-19,91,91,91.0,91.0,91.0
166,2016-09-19,73,73,73.0,73.0,73.0
167,2016-09-19,45,45,45.0,45.0,45.0
168,2016-09-19,99,99,99.0,99.0,99.0
169,2016-09-19,87,87,87.0,87.0,87.0
170,2016-09-19,104,104,104.0,104.0,104.0
171,2016-09-19,94,94,94.0,94.0,94.0
172,2016-09-19,44,44,44.0,44.0,44.0
173,2016-09-19,70,70,70.0,70.0,70.0
174,2016-09-19,66,66,66.0,66.0,66.0
175,2016-09-19,91,91,91.0,91.0,91.0
176,2016-09-19,86,86,86.0,86.0,86.0
177,2016-09-19,53,53,53.0,53.0,53.0
178,2016-09-19,79,79,79.0,79.0,79.0
179,2016-09-19,69,69,69.0,69.0,69.0
180,2016-09-19,122,122,122.0,122.0,122.0
181,2016-09-19,94,94,94.0,94.0,94.0
182,2016-09-19,57,57,57.0,57.0,57.0
183,2016-09-19,100,100,100.0,100.0,100.0
184,2016-09-19,81,81,81.0,81.0,81.0
185,2016-09-19,117,117,117.0,117.0,117.0
186,2016-09-19,91,91,91.0,91.0,91.0
187,2016-09-19,61,61,61.0,61.0,61.0
188,2016-09-19,108,108,108.0,108.0,108.0
189,2016-09-19,95,95,95.0,95.0,95.0
190,2016-09-19,107,107,107.0,107.0,107.0
191,2016-09-19,110,110,110.0,110.0,110.0
192,2016-09-19,53,53,53.0,53.0,53.0
193,2016-09-19,106,106,106.0,106.0,106.0
194,2016-09-19,67,67,67.0,67.0,67.0
195,2016-09-19,131,131,131.0,131.0,131.0
196,2016-09-19,100,100,100.0,100.0,100.0
197,2016-09-19,55,55,55.0,55.0,55.0
198,2016-09-19,101,101,101.0,101.0,101.0
199,2016-09-19,66,66,66.0,66.0,66.0
200,2016-09-19,100,100,100.0,100.0,100.0
201,2016-09-19,95,95,95.0,95.0,95.0
202,2016-09-19,52,52,52.0,52.0,52.0
203,2016-09-19,100,100,100.0,100.0,100.0
204,2016-09-19,62,62,62.0,62.0,62.0
205,2016-09-19,84,84,84.0,84.0,84.0
206,2016-09-19,99,99,99.0,99.0,99.0
207,2016-09-19,52,52,52.0,52.0,52.0
208,2016-09-19,101,101,101.0,101.0,101.0
209,2016-09-19,79,79,79.0,79.0,79.0
210,2016-09-19,107,107,107.0,107.0,107.0
211,2016-09-19,93,93,93.0,93.0,93.0
212,2016-09-19,48,48,48.0,48.0,48.0
213,2016-09-19,77,77,77.0,77.0,77.0
214,2016-09-19,77,77,77.0,77.0,77.0
215,2016-09-19,117,117,117.0,117.0,117.0
216,2016-09-19,75,75,75.0,75.0,75.0
217,2016-09-19,57,57,57.0,57.0,57.0
218,2016-09-19,104,104,104.0,104.0,104.0
219,2016-09-19,67,67,67.0,67.0,67.0
220,2016-09-19,109,109,109.0,109.0,109.0
221,2016-09-19,95,95,95.0,95.0,95.0
222,2016-09-19,43,43,43.0,43.0,43.0
223,2016-09-19,92,92,92.0,92.0,92.0
224,2016-09-19,74,74,74.0,74.0,74.0
225,2016-09-19,115,115,115.0,115.0,115.0
226,2016-09-19,83,83,83.0,83.0,83.0
227,2016-09-19,42,42,42.0,42.0,42.0
228,2016-09-19,110,110,110.0,110.0,110.0
229,2016-09-19,76,76,76.0,76.0,76.0
230,2016-09-19,123,123,123.0,123.0,123.0
231,2016-09-19,101,101,101.0,101.0,101.0
232,2016-09-19,46,46,46.0,46.0,46.0
233,2016-09-19,122,122,122.0,122.0,122.0
234,2016-09-19,86,86,86.0,86.0,86.0
235,2016-09-19,111,111,111.0,111.0,111.0
236,2016-09-19,90,90,90.0,90.0,90.0
237,2016-09-19,55,55,55.0,55.0,55.0
238,2016-09-19,116,116,116.0,116.0,116.0
239,2016-09-19,99,99,99.0,99.0,99.0
240,2016-09-19,116,116,116.0,116.0,116.0
241,2016-09-19,115,115,115.0,115.0,115.0
242,2016-09-19,36,36,36.0,36.0,36.0
243,2016-09-19,96,96,96.0,96.0,96.0
244,2016-09-19,85,85,85.0,85.0,85.0
245,2016-09-19,110,110,110.0,110.0,110.0
246,2016-09-19,86,86,86.0,86.0,86.0
247,2016-09-19,34,34,34.0,34.0,34.0
248,2016-09-19,116,116,116.0,116.0,116.0
249,2016-09-19,72,72,72.0,72.0,72.0
250,2016-09-19,118,118,118.0,118.0,118.0
251,2016-09-19,85,85,85.0,85.0,85.0
252,2016-09-19,24,24,24.0,24.0,24.0
253,2016-09-19,112,112,112.0,112.0,112.0
254,2016-09-19,53,53,53.0,53.0,53.0
255,2016-09-19,95,95,95.0,95.0,95.0
256,2016-09-19,91,91,91.0,91.0,91.0
257,2016-09-19,29,29,29.0,29.0,29.0
258,2016-09-19,67,67,67.0,67.0,67.0
259,2016-09-19,55,55,55.0,55.0,55.0
260,2016-09-19,94,94,94.0,94.0,94.0
261,2016-09-19,73,73,73.0,73.0,73.0
262,2016-09-19,27,27,27.0,27.0,27.0
263,2016-09-19,94,94,94.0,94.0,94.0
264,2016-09-19,50,50,50.0,50.0,50.0
265,2016-09-19,56,56,56.0,56.0,56.0
266,2016-09-19,78,78,78.0,78.0,78.0
267,2016-09-19,18,18,18.0,18.0,18.0
268,2016-09-19,65,65,65.0,65.0,65.0
269,2016-09-19,49,49,49.0,49.0,49.0
270,2016-09-19,61,61,61.0,61.0,61.0
271,2016-09-19,77,77,77.0,77.0,77.0
272,2016-09-19,13,13,13.0,13.0,13.0
273,2016-09-19,62,62,62.0,62.0,62.0
274,2016-09-19,44,44,44.0,44.0,44.0
275,2016-09-19,51,51,51.0,51.0,51.0
276,2016-09-19,44,44,44.0,44.0,44.0
277,2016-09-19,22,22,22.0,22.0,22.0
278,2016-09-19,44,44,44.0,44.0,44.0
279,2016-09-19,49,49,49.0,49.0,49.0
280,2016-09-19,61,61,61.0,61.0,61.0
281,2016-09-19,45,45,45.0,45.0,45.0
282,2016-09-19,27,27,27.0,27.0,27.0
283,2016-09-19,41,41,41.0,41.0,41.0
284,2016-09-19,41,41,41.0,41.0,41.0
285,2016-09-19,50,50,50.0,50.0,50.0
286,2016-09-19,46,46,46.0,46.0,46.0
287,2016-09-19,17,17,17.0,17.0,17.0
288,2016-09-19,48,48,48.0,48.0,48.0
289,2016-09-19,56,56,56.0,56.0,56.0
290,2016-09-19,55,55,55.0,55.0,55.0
291,2016-09-19,32,32,32.0,32.0,32.0
292,2016-09-19,16,16,16.0,16.0,16.0
293,2016-09-19,34,34,34.0,34.0,34.0
294,2016-09-19,21,21,21.0,21.0,21.0
295,2016-09-19,29,29,29.0,29.0,29.0
296,2016-09-19,40,40,40.0,40.0,40.0
297,2016-09-19,17,17,17.0,17.0,17.0
298,2016-09-19,39,39,39.0,39.0,39.0
299,2016-09-19,35,35,35.0,35.0,35.0
300,2016-09-19,41,41,41.0,41.0,41.0
301,2016-09-19,42,42,42.0,42.0,42.0
302,2016-09-19,17,17,17.0,17.0,17.0
303,2016-09-19,24,24,24.0,24.0,24.0
304,2016-09-19,29,29,29.0,29.0,29.0
305,2016-09-19,32,32,32.0,32.0,32.0
306,2016-09-19,30,30,30.0,30.0,30.0
307,2016-09-19,22,22,22.0,22.0,22.0
308,2016-09-19,35,35,35.0,35.0,35.0
309,2016-09-19,20,20,20.0,20.0,20.0
310,2016-09-19,34,34,34.0,34.0,34.0
311,2016-09-19,37,37,37.0,37.0,37.0
312,2016-09-19,5,5,5.0,5.0,5.0
313,2016-09-19,30,30,30.0,30.0,30.0
314,2016-09-19,24,24,24.0,24.0,24.0
315,2016-09-19,30,30,30.0,30.0,30.0
316,2016-09-19,33,33,33.0,33.0,33.0
317,2016-09-19,4,4,4.0,4.0,4.0
318,2016-09-19,21,21,21.0,21.0,21.0
319,2016-09-19,21,21,21.0,21.0,21.0
320,2016-09-19,22,22,22.0,22.0,22.0
321,2016-09-19,16,16,16.0,16.0,16.0
322,2016-09-19,9,9,9.0,9.0,9.0
323,2016-09-19,24,24,24.0,24.0,24.0
324,2016-09-19,12,12,12.0,12.0,12.0
325,2016-09-19,24,24,24.0,24.0,24.0
326,2016-09-19,13,13,13.0,13.0,13.0
327,2016-09-19,3,3,3.0,3.0,3.0
328,2016-09-19,23,23,23.0,23.0,23.0
329,2016-09-19,24,24,24.0,24.0,24.0
330,2016-09-19,12,12,12.0,12.0,12.0
331,2016-09-19,21,21,21.0,21.0,21.0
332,2016-09-19,1,1,1.0,1.0,1.0
333,2016-09-19,16,16,16.0,16.0,16.0
334,2016-09-19,16,16,16.0,16.0,16.0
335,2016-09-19,6,6,6.0,6.0,6.0
336,2016-09-19,7,7,7.0,7.0,7.0
337,2016-09-19,7,7,7.0,7.0,7.0
338,2016-09-19,10,10,10.0,10.0,10.0
339,2016-09-19,6,6,6.0,6.0,6.0
340,2016-09-19,11,11,11.0,11.0,11.0
341,2016-09-19,11,11,11.0,11.0,11.0
342,2016-09-19,6,6,6.0,6.0,6.0
343,2016-09-19,13,13,13.0,13.0,13.0
344,2016-09-19,12,12,12.0,12.0,12.0
345,2016-09-19,22,22,22.0,22.0,22.0
346,2016-09-19,16,16,16.0,16.0,16.0
347,2016-09-20,14,14,14.0,14.0,14.0
348,2016-09-20,139,139,139.0,139.0,139.0
349,2016-09-20,17,17,17.0,17.0,17.0
350,2016-09-20,231,231,231.0,231.0,231.0
351,2016-09-20,13,13,13.0,13.0,13.0
352,2016-09-20,80,80,80.0,80.0,80.0
353,2016-09-20,2,2,2.0,2.0,2.0
354,2016-09-20,13,13,13.0,13.0,13.0
355,2016-09-20,148,148,148.0,148.0,148.0
356,2016-09-20,7,7,7.0,7.0,7.0
357,2016-09-20,37,37,37.0,37.0,37.0
358,2016-09-20,2,2,2.0,2.0,2.0
359,2016-09-20,17,17,17.0,17.0,17.0
360,2016-09-20,92,92,92.0,92.0,92.0
361,2016-09-20,6,6,6.0,6.0,6.0
362,2016-09-20,6,6,6.0,6.0,6.0
363,2016-09-20,15,15,15.0,15.0,15.0
364,2016-09-20,9,9,9.0,9.0,9.0
365,2016-09-20,5,5,5.0,5.0,5.0
366,2016-09-20,8,8,8.0,8.0,8.0
367,2016-09-20,1,1,1.0,1.0,1.0
368,2016-09-20,14,14,14.0,14.0,14.0
369,2016-09-20,10,10,10.0,10.0,10.0
370,2016-09-20,5,5,5.0,5.0,5.0
371,2016-09-20,11,11,11.0,11.0,11.0
372,2016-09-20,18,18,18.0,18.0,18.0
373,2016-09-20,5,5,5.0,5.0,5.0
374,2016-09-20,6,6,6.0,6.0,6.0
375,2016-09-20,8,8,8.0,8.0,8.0
376,2016-09-20,12,12,12.0,12.0,12.0
377,2016-09-20,4,4,4.0,4.0,4.0
378,2016-09-20,9,9,9.0,9.0,9.0
379,2016-09-20,12,12,12.0,12.0,12.0
380,2016-09-20,17,17,17.0,17.0,17.0
381,2016-09-20,4,4,4.0,4.0,4.0
382,2016-09-20,7,7,7.0,7.0,7.0
383,2016-09-20,8,8,8.0,8.0,8.0
384,2016-09-20,13,13,13.0,13.0,13.0
385,2016-09-20,8,8,8.0,8.0,8.0
386,2016-09-20,10,10,10.0,10.0,10.0
387,2016-09-20,2,2,2.0,2.0,2.0
388,2016-09-20,7,7,7.0,7.0,7.0
389,2016-09-20,6,6,6.0,6.0,6.0
390,2016-09-20,8,8,8.0,8.0,8.0
391,2016-09-20,13,13,13.0,13.0,13.0
392,2016-09-20,8,8,8.0,8.0,8.0
393,2016-09-20,3,3,3.0,3.0,3.0
394,2016-09-20,5,5,5.0,5.0,5.0
395,2016-09-20,18,18,18.0,18.0,18.0
396,2016-09-20,11,11,11.0,11.0,11.0
397,2016-09-20,6,6,6.0,6.0,6.0
398,2016-09-20,11,11,11.0,11.0,11.0
399,2016-09-20,20,20,20.0,20.0,20.0
400,2016-09-20,10,10,10.0,10.0,10.0
401,2016-09-20,6,6,6.0,6.0,6.0
402,2016-09-20,8,8,8.0,8.0,8.0
403,2016-09-20,17,17,17.0,17.0,17.0
404,2016-09-20,9,9,9.0,9.0,9.0
405,2016-09-20,6,6,6.0,6.0,6.0
406,2016-09-20,15,15,15.0,15.0,15.0
407,2016-09-20,20,20,20.0,20.0,20.0
408,2016-09-20,11,11,11.0,11.0,11.0
409,2016-09-20,4,4,4.0,4.0,4.0
410,2016-09-20,9,9,9.0,9.0,9.0
411,2016-09-20,27,27,27.0,27.0,27.0
412,2016-09-20,5,5,5.0,5.0,5.0
413,2016-09-20,12,12,12.0,12.0,12.0
414,2016-09-20,12,12,12.0,12.0,12.0
415,2016-09-20,4,4,4.0,4.0,4.0
416,2016-09-20,37,37,37.0,37.0,37.0
417,2016-09-20,18,18,18.0,18.0,18.0
418,2016-09-20,17,17,17.0,17.0,17.0
419,2016-09-20,12,12,12.0,12.0,12.0
420,2016-09-20,10,10,10.0,10.0,10.0
421,2016-09-20,35,35,35.0,35.0,35.0
422,2016-09-20,21,21,21.0,21.0,21.0
423,2016-09-20,20,20,20.0,20.0,20.0
424,2016-09-20,18,18,18.0,18.0,18.0
425,2016-09-20,13,13,13.0,13.0,13.0
426,2016-09-20,47,47,47.0,47.0,47.0
427,2016-09-20,33,33,33.0,33.0,33.0
428,2016-09-20,31,31,31.0,31.0,31.0
429,2016-09-20,24,24,24.0,24.0,24.0
430,2016-09-20,20,20,20.0,20.0,20.0
431,2016-09-20,59,59,59.0,59.0,59.0
432,2016-09-20,31,31,31.0,31.0,31.0
433,2016-09-20,43,43,43.0,43.0,43.0
434,2016-09-20,43,43,43.0,43.0,43.0
435,2016-09-20,29,29,29.0,29.0,29.0
436,2016-09-20,69,69,69.0,69.0,69.0
437,2016-09-20,54,54,54.0,54.0,54.0
438,2016-09-20,80,80,80.0,80.0,80.0
439,2016-09-20,66,66,66.0,66.0,66.0
440,2016-09-20,38,38,38.0,38.0,38.0
441,2016-09-20,88,88,88.0,88.0,88.0
442,2016-09-20,79,79,79.0,79.0,79.0
443,2016-09-20,113,113,113.0,113.0,113.0
444,2016-09-20,83,83,83.0,83.0,83.0
445,2016-09-20,30,30,30.0,30.0,30.0
446,2016-09-20,126,126,126.0,126.0,126.0
447,2016-09-20,86,86,86.0,86.0,86.0
448,2016-09-20,141,141,141.0,141.0,141.0
449,2016-09-20,97,97,97.0,97.0,97.0
450,2016-09-20,31,31,31.0,31.0,31.0
451,2016-09-20,139,139,139.0,139.0,139.0
452,2016-09-20,93,93,93.0,93.0,93.0
453,2016-09-20,136,136,136.0,136.0,136.0
454,2016-09-20,122,122,122.0,122.0,122.0
455,2016-09-20,53,53,53.0,53.0,53.0
456,2016-09-20,132,132,132.0,132.0,132.0
457,2016-09-20,112,112,112.0,112.0,112.0
458,2016-09-20,145,145,145.0,145.0,145.0
459,2016-09-20,154,154,154.0,154.0,154.0
460,2016-09-20,50,50,50.0,50.0,50.0
461,2016-09-20,151,151,151.0,151.0,151.0
462,2016-09-20,111,111,111.0,111.0,111.0
463,2016-09-20,173,173,173.0,173.0,173.0
464,2016-09-20,209,209,209.0,209.0,209.0
465,2016-09-20,45,45,45.0,45.0,45.0
466,2016-09-20,131,131,131.0,131.0,131.0
467,2016-09-20,112,112,112.0,112.0,112.0
468,2016-09-20,154,154,154.0,154.0,154.0
469,2016-09-20,210,210,210.0,210.0,210.0
470,2016-09-20,51,51,51.0,51.0,51.0
471,2016-09-20,150,150,150.0,150.0,150.0
472,2016-09-20,105,105,105.0,105.0,105.0
473,2016-09-20,144,144,144.0,144.0,144.0
474,2016-09-20,191,191,191.0,191.0,191.0
475,2016-09-20,68,68,68.0,68.0,68.0
476,2016-09-20,142,142,142.0,142.0,142.0
477,2016-09-20,99,99,99.0,99.0,99.0
478,2016-09-20,142,142,142.0,142.0,142.0
479,2016-09-20,222,222,222.0,222.0,222.0
480,2016-09-20,59,59,59.0,59.0,59.0
481,2016-09-20,173,173,173.0,173.0,173.0
482,2016-09-20,87,87,87.0,87.0,87.0
483,2016-09-20,144,144,144.0,144.0,144.0
484,2016-09-20,174,174,174.0,174.0,174.0
485,2016-09-20,56,56,56.0,56.0,56.0
486,2016-09-20,96,96,96.0,96.0,96.0
487,2016-09-20,85,85,85.0,85.0,85.0
488,2016-09-20,123,123,123.0,123.0,123.0
489,2016-09-20,81,81,81.0,81.0,81.0
490,2016-09-20,60,60,60.0,60.0,60.0
491,2016-09-20,92,92,92.0,92.0,92.0
492,2016-09-20,76,76,76.0,76.0,76.0
493,2016-09-20,137,137,137.0,137.0,137.0
494,2016-09-20,97,97,97.0,97.0,97.0
495,2016-09-20,63,63,63.0,63.0,63.0
496,2016-09-20,92,92,92.0,92.0,92.0
497,2016-09-20,80,80,80.0,80.0,80.0
498,2016-09-20,114,114,114.0,114.0,114.0
499,2016-09-20,77,77,77.0,77.0,77.0
500,2016-09-20,57,57,57.0,57.0,57.0
501,2016-09-20,90,90,90.0,90.0,90.0
502,2016-09-20,63,63,63.0,63.0,63.0
503,2016-09-20,120,120,120.0,120.0,120.0
504,2016-09-20,79,79,79.0,79.0,79.0
505,2016-09-20,64,64,64.0,64.0,64.0
506,2016-09-20,98,98,98.0,98.0,98.0
507,2016-09-20,46,46,46.0,46.0,46.0
508,2016-09-20,102,102,102.0,102.0,102.0
509,2016-09-20,82,82,82.0,82.0,82.0
510,2016-09-20,50,50,50.0,50.0,50.0
511,2016-09-20,87,87,87.0,87.0,87.0
512,2016-09-20,55,55,55.0,55.0,55.0
513,2016-09-20,111,111,111.0,111.0,111.0
514,2016-09-20,83,83,83.0,83.0,83.0
515,2016-09-20,53,53,53.0,53.0,53.0
516,2016-09-20,86,86,86.0,86.0,86.0
517,2016-09-20,73,73,73.0,73.0,73.0
518,2016-09-20,101,101,101.0,101.0,101.0
519,2016-09-20,109,109,109.0,109.0,109.0
520,2016-09-20,62,62,62.0,62.0,62.0
521,2016-09-20,82,82,82.0,82.0,82.0
522,2016-09-20,88,88,88.0,88.0,88.0
523,2016-09-20,122,122,122.0,122.0,122.0
524,2016-09-20,78,78,78.0,78.0,78.0
525,2016-09-20,75,75,75.0,75.0,75.0
526,2016-09-20,70,70,70.0,70.0,70.0
527,2016-09-20,80,80,80.0,80.0,80.0
528,2016-09-20,133,133,133.0,133.0,133.0
529,2016-09-20,92,92,92.0,92.0,92.0
530,2016-09-20,98,98,98.0,98.0,98.0
531,2016-09-20,99,99,99.0,99.0,99.0
532,2016-09-20,75,75,75.0,75.0,75.0
533,2016-09-20,130,130,130.0,130.0,130.0
534,2016-09-20,94,94,94.0,94.0,94.0
535,2016-09-20,82,82,82.0,82.0,82.0
536,2016-09-20,95,95,95.0,95.0,95.0
537,2016-09-20,96,96,96.0,96.0,96.0
538,2016-09-20,143,143,143.0,143.0,143.0
539,2016-09-20,88,88,88.0,88.0,88.0
540,2016-09-20,84,84,84.0,84.0,84.0
541,2016-09-20,103,103,103.0,103.0,103.0
542,2016-09-20,69,69,69.0,69.0,69.0
543,2016-09-20,136,136,136.0,136.0,136.0
544,2016-09-20,99,99,99.0,99.0,99.0
545,2016-09-20,81,81,81.0,81.0,81.0
546,2016-09-20,105,105,105.0,105.0,105.0
547,2016-09-20,81,81,81.0,81.0,81.0
548,2016-09-20,131,131,131.0,131.0,131.0
549,2016-09-20,99,99,99.0,99.0,99.0
550,2016-09-20,90,90,90.0,90.0,90.0
551,2016-09-20,94,94,94.0,94.0,94.0
552,2016-09-20,72,72,72.0,72.0,72.0
553,2016-09-20,141,141,141.0,141.0,141.0
554,2016-09-20,81,81,81.0,81.0,81.0
