,am_pm,date,day,desvio_padrao_am_pm,desvio_padrao_hora_dia,desvio_padrao_weekday,direction,hour,max_volume_dia_am_pm,max_volume_hora_dia,max_volume_weekday,media_volume_dia_am_pm,media_volume_hora_dia,media_volume_weekday,mediana_volume_dia_am_pm,mediana_volume_hora_dia,mediana_volume_weekday,min_volume_dia_am_pm,min_volume_hora_dia,min_volume_weekday,minute,time,time_window,tollgate_id,volume,volume_anterior,volume_anterior_2,week,weekend
94,1,2016-09-20,20,20.4739567004865,8.648699324175862,34.0,0,7,68,48,34,25.51388888888889,38.0,34.0,14.5,37.5,34.0,2,25,34,,2016-09-20 07:35:00,"[07:35:00,07:55:00)",1,34,34.0,32.0,2,0
95,1,2016-09-20,20,20.4739567004865,8.648699324175862,48.0,0,7,68,48,48,25.51388888888889,38.0,48.0,14.5,37.5,48.0,2,25,48,,2016-09-20 07:55:00,"[07:55:00,08:15:00)",1,48,34.0,34.0,2,0
162,1,2016-09-21,21,27.783240464427923,23.03692687838376,37.0,0,6,123,67,37,29.75,37.5,37.0,22.0,29.5,37.0,3,13,37,,2016-09-21 06:15:00,"[06:15:00,06:35:00)",1,37,39.0,22.0,3,0
163,1,2016-09-21,21,27.783240464427923,23.03692687838376,67.0,0,6,123,67,67,29.75,37.5,67.0,22.0,29.5,67.0,3,13,67,,2016-09-21 06:35:00,"[06:35:00,06:55:00)",1,67,37.0,39.0,3,0
164,1,2016-09-21,21,27.783240464427923,23.03692687838376,64.0,0,6,123,67,64,29.75,37.5,64.0,22.0,29.5,64.0,3,13,64,,2016-09-21 06:55:00,"[06:55:00,07:15:00)",1,64,67.0,37.0,3,0
165,1,2016-09-21,21,27.783240464427923,34.46399086969858,96.0,0,7,123,114,96,29.75,69.16666666666667,96.0,22.0,65.5,96.0,3,35,96,,2016-09-21 07:15:00,"[07:15:00,07:35:00)",1,96,64.0,67.0,3,0
166,1,2016-09-21,21,27.783240464427923,34.46399086969858,89.0,0,7,123,114,89,29.75,69.16666666666667,89.0,22.0,65.5,89.0,3,35,89,,2016-09-21 07:35:00,"[07:35:00,07:55:00)",1,89,96.0,64.0,3,0
167,1,2016-09-21,21,27.783240464427923,34.46399086969858,114.0,0,7,123,114,114,29.75,69.16666666666667,114.0,22.0,65.5,114.0,3,35,114,,2016-09-21 07:55:00,"[07:55:00,08:15:00)",1,114,89.0,96.0,3,0
234,1,2016-09-22,22,19.32191159294633,8.863783992554573,13.0,0,6,59,31,13,23.625,19.166666666666668,13.0,12.5,18.5,13.0,1,7,13,,2016-09-22 06:15:00,"[06:15:00,06:35:00)",1,13,1.0,4.0,4,0
235,1,2016-09-22,22,19.32191159294633,8.863783992554573,27.0,0,6,59,31,27,23.625,19.166666666666668,27.0,12.5,18.5,27.0,1,7,27,,2016-09-22 06:35:00,"[06:35:00,06:55:00)",1,27,13.0,1.0,4,0
236,1,2016-09-22,22,19.32191159294633,8.863783992554573,31.0,0,6,59,31,31,23.625,19.166666666666668,31.0,12.5,18.5,31.0,1,7,31,,2016-09-22 06:55:00,"[06:55:00,07:15:00)",1,31,27.0,13.0,4,0
237,1,2016-09-22,22,19.32191159294633,9.273618495495704,37.0,0,7,59,44,37,23.625,35.0,37.0,12.5,37.0,37.0,1,17,37,,2016-09-22 07:15:00,"[07:15:00,07:35:00)",1,37,31.0,27.0,4,0
238,1,2016-09-22,22,19.32191159294633,9.273618495495704,39.0,0,7,59,44,39,23.625,35.0,39.0,12.5,37.0,39.0,1,17,39,,2016-09-22 07:35:00,"[07:35:00,07:55:00)",1,39,37.0,31.0,4,0
239,1,2016-09-22,22,19.32191159294633,9.273618495495704,44.0,0,7,59,44,44,23.625,35.0,44.0,12.5,37.0,44.0,1,17,44,,2016-09-22 07:55:00,"[07:55:00,08:15:00)",1,44,39.0,37.0,4,0
306,1,2016-09-23,23,18.54367175422185,8.532291603080617,18.0,0,6,69,31,18,22.86111111111111,19.0,18.0,12.5,16.0,18.0,2,11,18,,2016-09-23 06:15:00,"[06:15:00,06:35:00)",1,18,8.0,5.0,5,0
307,1,2016-09-23,23,18.54367175422185,8.532291603080617,28.0,0,6,69,31,28,22.86111111111111,19.0,28.0,12.5,16.0,28.0,2,11,28,,2016-09-23 06:35:00,"[06:35:00,06:55:00)",1,28,18.0,8.0,5,0
308,1,2016-09-23,23,18.54367175422185,8.532291603080617,31.0,0,6,69,31,31,22.86111111111111,19.0,31.0,12.5,16.0,31.0,2,11,31,,2016-09-23 06:55:00,"[06:55:00,07:15:00)",1,31,28.0,18.0,5,0
309,1,2016-09-23,23,18.54367175422185,8.687155268939692,38.0,0,7,69,45,38,22.86111111111111,34.666666666666664,38.0,12.5,34.0,38.0,2,23,38,,2016-09-23 07:15:00,"[07:15:00,07:35:00)",1,38,31.0,28.0,5,0
310,1,2016-09-23,23,18.54367175422185,8.687155268939692,43.0,0,7,69,45,43,22.86111111111111,34.666666666666664,43.0,12.5,34.0,43.0,2,23,43,,2016-09-23 07:35:00,"[07:35:00,07:55:00)",1,43,38.0,31.0,5,0
311,1,2016-09-23,23,18.54367175422185,8.687155268939692,45.0,0,7,69,45,45,22.86111111111111,34.666666666666664,45.0,12.5,34.0,45.0,2,23,45,,2016-09-23 07:55:00,"[07:55:00,08:15:00)",1,45,43.0,38.0,5,0
378,1,2016-09-24,24,21.01843125138436,6.6758270399005,17.0,0,6,75,36,17,26.48611111111111,23.16666666666667,17.0,17.5,22.0,17.0,3,17,17,,2016-09-24 06:15:00,"[06:15:00,06:35:00)",1,17,11.0,6.0,6,1
379,1,2016-09-24,24,21.01843125138436,6.6758270399005,19.0,0,6,75,36,19,26.48611111111111,23.16666666666667,19.0,17.5,22.0,19.0,3,17,19,,2016-09-24 06:35:00,"[06:35:00,06:55:00)",1,19,17.0,11.0,6,1
380,1,2016-09-24,24,21.01843125138436,6.6758270399005,23.0,0,6,75,36,23,26.48611111111111,23.16666666666667,23.0,17.5,22.0,23.0,3,17,23,,2016-09-24 06:55:00,"[06:55:00,07:15:00)",1,23,19.0,17.0,6,1
381,1,2016-09-24,24,21.01843125138436,6.705718952257593,36.0,0,7,75,47,36,26.48611111111111,39.16666666666666,36.0,17.5,39.5,36.0,3,31,36,,2016-09-24 07:15:00,"[07:15:00,07:35:00)",1,36,23.0,19.0,6,1
382,1,2016-09-24,24,21.01843125138436,6.705718952257593,31.0,0,7,75,47,31,26.48611111111111,39.16666666666666,31.0,17.5,39.5,31.0,3,31,31,,2016-09-24 07:35:00,"[07:35:00,07:55:00)",1,31,36.0,23.0,6,1
383,1,2016-09-24,24,21.01843125138436,6.705718952257593,45.0,0,7,75,47,45,26.48611111111111,39.16666666666666,45.0,17.5,39.5,45.0,3,31,45,,2016-09-24 07:55:00,"[07:55:00,08:15:00)",1,45,31.0,36.0,6,1
450,1,2016-09-25,25,18.48609516057175,4.725815626252608,14.0,0,6,62,23,14,23.25,19.33333333333333,14.0,13.5,21.0,14.0,2,14,14,,2016-09-25 06:15:00,"[06:15:00,06:35:00)",1,14,7.0,11.0,7,1
451,1,2016-09-25,25,18.48609516057175,4.725815626252608,23.0,0,6,62,23,23,23.25,19.33333333333333,23.0,13.5,21.0,23.0,2,14,23,,2016-09-25 06:35:00,"[06:35:00,06:55:00)",1,23,14.0,7.0,7,1
452,1,2016-09-25,25,18.48609516057175,4.725815626252608,21.0,0,6,62,23,21,23.25,19.33333333333333,21.0,13.5,21.0,21.0,2,14,21,,2016-09-25 06:55:00,"[06:55:00,07:15:00)",1,21,23.0,14.0,7,1
453,1,2016-09-25,25,18.48609516057175,9.504384952922168,19.0,0,7,62,38,19,23.25,28.66666666666667,19.0,13.5,29.0,19.0,2,19,19,,2016-09-25 07:15:00,"[07:15:00,07:35:00)",1,19,21.0,23.0,7,1
454,1,2016-09-25,25,18.48609516057175,9.504384952922168,29.0,0,7,62,38,29,23.25,28.66666666666667,29.0,13.5,29.0,29.0,2,19,29,,2016-09-25 07:35:00,"[07:35:00,07:55:00)",1,29,19.0,21.0,7,1
455,1,2016-09-25,25,18.48609516057175,9.504384952922168,38.0,0,7,62,38,38,23.25,28.66666666666667,38.0,13.5,29.0,38.0,2,19,38,,2016-09-25 07:55:00,"[07:55:00,08:15:00)",1,38,29.0,19.0,7,1
522,1,2016-09-26,26,19.736578722831872,12.055427546683418,37.0,0,6,60,44,37,25.805555555555557,32.666666666666664,37.0,17.0,34.0,37.0,1,20,37,,2016-09-26 06:15:00,"[06:15:00,06:35:00)",1,20,13.0,7.0,1,0
523,1,2016-09-26,26,19.736578722831872,12.055427546683418,38.0,0,6,60,44,38,25.805555555555557,32.666666666666664,38.0,17.0,34.0,38.0,1,20,38,,2016-09-26 06:35:00,"[06:35:00,06:55:00)",1,34,20.0,13.0,1,0
524,1,2016-09-26,26,19.736578722831872,12.055427546683418,64.0,0,6,60,44,64,25.805555555555557,32.666666666666664,64.0,17.0,34.0,64.0,1,20,64,,2016-09-26 06:55:00,"[06:55:00,07:15:00)",1,44,34.0,20.0,1,0
525,1,2016-09-26,26,19.736578722831872,4.72581562625261,83.0,0,7,60,49,83,25.805555555555557,43.66666666666666,83.0,17.0,42.0,83.0,1,40,83,,2016-09-26 07:15:00,"[07:15:00,07:35:00)",1,40,44.0,34.0,1,0
526,1,2016-09-26,26,19.736578722831872,4.72581562625261,97.0,0,7,60,49,97,25.805555555555557,43.66666666666666,97.0,17.0,42.0,97.0,1,40,97,,2016-09-26 07:35:00,"[07:35:00,07:55:00)",1,42,40.0,44.0,1,0
527,1,2016-09-26,26,19.736578722831872,4.72581562625261,120.0,0,7,60,49,120,25.805555555555557,43.66666666666666,120.0,17.0,42.0,120.0,1,40,120,,2016-09-26 07:55:00,"[07:55:00,08:15:00)",1,49,42.0,40.0,1,0
594,1,2016-09-27,27,21.006499372170886,12.503332889007368,28.0,0,6,68,44,28,27.38888888888889,31.33333333333333,28.0,18.5,31.0,28.0,4,19,28,,2016-09-27 06:15:00,"[06:15:00,06:35:00)",1,19,10.0,7.0,2,0
595,1,2016-09-27,27,21.006499372170886,12.503332889007368,42.0,0,6,68,44,42,27.38888888888889,31.33333333333333,42.0,18.5,31.0,42.0,4,19,42,,2016-09-27 06:35:00,"[06:35:00,06:55:00)",1,31,19.0,10.0,2,0
596,1,2016-09-27,27,21.006499372170886,12.503332889007368,80.0,0,6,68,44,80,27.38888888888889,31.33333333333333,80.0,18.5,31.0,80.0,4,19,80,,2016-09-27 06:55:00,"[06:55:00,07:15:00)",1,44,31.0,19.0,2,0
597,1,2016-09-27,27,21.006499372170886,13.650396819628847,79.0,0,7,68,65,79,27.38888888888889,50.33333333333334,79.0,18.5,48.0,79.0,4,38,79,,2016-09-27 07:15:00,"[07:15:00,07:35:00)",1,65,44.0,31.0,2,0
598,1,2016-09-27,27,21.006499372170886,13.650396819628847,103.0,0,7,68,65,103,27.38888888888889,50.33333333333334,103.0,18.5,48.0,103.0,4,38,103,,2016-09-27 07:35:00,"[07:35:00,07:55:00)",1,38,65.0,44.0,2,0
599,1,2016-09-27,27,21.006499372170886,13.650396819628847,101.0,0,7,68,65,101,27.38888888888889,50.33333333333334,101.0,18.5,48.0,101.0,4,38,101,,2016-09-27 07:55:00,"[07:55:00,08:15:00)",1,48,38.0,65.0,2,0
666,1,2016-09-28,28,46.954554185192286,14.153915830374766,8.0,0,6,136,71,8,54.111111111111114,54.66666666666666,8.0,37.5,47.0,8.0,5,46,8,,2016-09-28 06:15:00,"[06:15:00,06:35:00)",1,47,29.0,20.0,3,0
667,1,2016-09-28,28,46.954554185192286,14.153915830374766,11.0,0,6,136,71,11,54.111111111111114,54.66666666666666,11.0,37.5,47.0,11.0,5,46,11,,2016-09-28 06:35:00,"[06:35:00,06:55:00)",1,46,47.0,29.0,3,0
668,1,2016-09-28,28,46.954554185192286,14.153915830374766,34.0,0,6,136,71,34,54.111111111111114,54.66666666666666,34.0,37.5,47.0,34.0,5,46,34,,2016-09-28 06:55:00,"[06:55:00,07:15:00)",1,71,46.0,47.0,3,0
669,1,2016-09-28,28,46.954554185192286,16.289055630494158,36.0,0,7,136,119,36,54.111111111111114,100.33333333333331,36.0,37.5,93.0,36.0,5,89,36,,2016-09-28 07:15:00,"[07:15:00,07:35:00)",1,89,71.0,46.0,3,0
670,1,2016-09-28,28,46.954554185192286,16.289055630494158,49.0,0,7,136,119,49,54.111111111111114,100.33333333333331,49.0,37.5,93.0,49.0,5,89,49,,2016-09-28 07:35:00,"[07:35:00,07:55:00)",1,93,89.0,71.0,3,0
671,1,2016-09-28,28,46.954554185192286,16.289055630494158,38.0,0,7,136,119,38,54.111111111111114,100.33333333333331,38.0,37.5,93.0,38.0,5,89,38,,2016-09-28 07:55:00,"[07:55:00,08:15:00)",1,119,93.0,89.0,3,0
738,1,2016-09-29,29,18.054063430408302,7.549834435270751,30.0,0,6,55,22,30,22.222222222222218,15.0,30.0,12.0,16.0,30.0,2,7,30,,2016-09-29 06:15:00,"[06:15:00,06:35:00)",1,7,2.0,6.0,4,0
739,1,2016-09-29,29,18.054063430408302,7.549834435270751,37.0,0,6,55,22,37,22.222222222222218,15.0,37.0,12.0,16.0,37.0,2,7,37,,2016-09-29 06:35:00,"[06:35:00,06:55:00)",1,16,7.0,2.0,4,0
740,1,2016-09-29,29,18.054063430408302,7.549834435270751,59.0,0,6,55,22,59,22.222222222222218,15.0,59.0,12.0,16.0,59.0,2,7,59,,2016-09-29 06:55:00,"[06:55:00,07:15:00)",1,22,16.0,7.0,4,0
741,1,2016-09-29,29,18.054063430408302,4.618802153517006,79.0,0,7,55,36,79,22.222222222222218,33.333333333333336,79.0,12.0,36.0,79.0,2,28,79,,2016-09-29 07:15:00,"[07:15:00,07:35:00)",1,28,22.0,16.0,4,0
742,1,2016-09-29,29,18.054063430408302,4.618802153517006,97.0,0,7,55,36,97,22.222222222222218,33.333333333333336,97.0,12.0,36.0,97.0,2,28,97,,2016-09-29 07:35:00,"[07:35:00,07:55:00)",1,36,28.0,22.0,4,0
743,1,2016-09-29,29,18.054063430408302,4.618802153517006,103.0,0,7,55,36,103,22.222222222222218,33.333333333333336,103.0,12.0,36.0,103.0,2,28,103,,2016-09-29 07:55:00,"[07:55:00,08:15:00)",1,36,36.0,28.0,4,0
810,1,2016-09-30,30,25.107704502738308,5.131601439446885,37.0,0,6,85,28,37,30.944444444444446,22.33333333333333,37.0,20.0,21.0,37.0,2,18,37,,2016-09-30 06:15:00,"[06:15:00,06:35:00)",1,18,9.0,5.0,5,0
811,1,2016-09-30,30,25.107704502738308,5.131601439446885,44.0,0,6,85,28,44,30.944444444444446,22.33333333333333,44.0,20.0,21.0,44.0,2,18,44,,2016-09-30 06:35:00,"[06:35:00,06:55:00)",1,21,18.0,9.0,5,0
812,1,2016-09-30,30,25.107704502738308,5.131601439446885,70.0,0,6,85,28,70,30.944444444444446,22.33333333333333,70.0,20.0,21.0,70.0,2,18,70,,2016-09-30 06:55:00,"[06:55:00,07:15:00)",1,28,21.0,18.0,5,0
813,1,2016-09-30,30,25.107704502738308,11.135528725660043,102.0,0,7,85,50,102,30.944444444444446,40.0,102.0,20.0,42.0,102.0,2,28,102,,2016-09-30 07:15:00,"[07:15:00,07:35:00)",1,28,28.0,21.0,5,0
814,1,2016-09-30,30,25.107704502738308,11.135528725660043,95.0,0,7,85,50,95,30.944444444444446,40.0,95.0,20.0,42.0,95.0,2,28,95,,2016-09-30 07:35:00,"[07:35:00,07:55:00)",1,42,28.0,28.0,5,0
815,1,2016-09-30,30,25.107704502738308,11.135528725660043,107.0,0,7,85,50,107,30.944444444444446,40.0,107.0,20.0,42.0,107.0,2,28,107,,2016-09-30 07:55:00,"[07:55:00,08:15:00)",1,50,42.0,28.0,5,0
882,1,2016-10-08,8,14.16535007887708,3.0,31.0,0,6,42,18,31,18.5,15.0,31.0,12.5,15.0,31.0,1,12,31,,2016-10-08 06:15:00,"[06:15:00,06:35:00)",1,12,7.0,9.0,6,1
883,1,2016-10-08,8,14.16535007887708,3.0,47.0,0,6,42,18,47,18.5,15.0,47.0,12.5,15.0,47.0,1,12,47,,2016-10-08 06:35:00,"[06:35:00,06:55:00)",1,18,12.0,7.0,6,1
884,1,2016-10-08,8,14.16535007887708,3.0,42.0,0,6,42,18,42,18.5,15.0,42.0,12.5,15.0,42.0,1,12,42,,2016-10-08 06:55:00,"[06:55:00,07:15:00)",1,15,18.0,12.0,6,1
885,1,2016-10-08,8,14.16535007887708,0.5773502691896255,56.0,0,7,42,32,56,18.5,31.33333333333333,56.0,12.5,31.0,56.0,1,31,56,,2016-10-08 07:15:00,"[07:15:00,07:35:00)",1,31,15.0,18.0,6,1
886,1,2016-10-08,8,14.16535007887708,0.5773502691896255,80.0,0,7,42,32,80,18.5,31.33333333333333,80.0,12.5,31.0,80.0,1,31,80,,2016-10-08 07:35:00,"[07:35:00,07:55:00)",1,32,31.0,15.0,6,1
887,1,2016-10-08,8,14.16535007887708,0.5773502691896255,77.0,0,7,42,32,77,18.5,31.33333333333333,77.0,12.5,31.0,77.0,1,31,77,,2016-10-08 07:55:00,"[07:55:00,08:15:00)",1,31,32.0,31.0,6,1
954,1,2016-10-09,9,14.905069980080974,6.8068592855540455,3.5355339059327378,0,6,45,22,13,19.805555555555557,16.666666666666668,10.5,11.5,19.0,10.5,1,9,8,,2016-10-09 06:15:00,"[06:15:00,06:35:00)",1,9,9.0,10.0,7,1
955,1,2016-10-09,9,14.905069980080974,6.8068592855540455,4.242640687119285,0,6,45,22,20,19.805555555555557,16.666666666666668,17.0,11.5,19.0,17.0,1,9,14,,2016-10-09 06:35:00,"[06:35:00,06:55:00)",1,19,9.0,9.0,7,1
956,1,2016-10-09,9,14.905069980080974,6.8068592855540455,2.8284271247461903,0,6,45,22,34,19.805555555555557,16.666666666666668,32.0,11.5,19.0,32.0,1,9,30,,2016-10-09 06:55:00,"[06:55:00,07:15:00)",1,22,19.0,9.0,7,1
957,1,2016-10-09,9,14.905069980080974,12.013880860626733,8.48528137423857,0,7,45,45,44,19.805555555555557,32.666666666666664,38.0,11.5,32.0,38.0,1,21,32,,2016-10-09 07:15:00,"[07:15:00,07:35:00)",1,21,22.0,19.0,7,1
958,1,2016-10-09,9,14.905069980080974,12.013880860626733,4.242640687119285,0,7,45,45,40,19.805555555555557,32.666666666666664,37.0,11.5,32.0,37.0,1,21,34,,2016-10-09 07:35:00,"[07:35:00,07:55:00)",1,32,21.0,22.0,7,1
959,1,2016-10-09,9,14.905069980080974,12.013880860626733,2.8284271247461903,0,7,45,45,42,19.805555555555557,32.666666666666664,40.0,11.5,32.0,40.0,1,21,38,,2016-10-09 07:55:00,"[07:55:00,08:15:00)",1,45,32.0,21.0,7,1
1026,1,2016-10-10,10,17.08234027311098,7.0945988845975885,0.7071067811865476,0,6,56,27,10,22.722222222222218,19.33333333333333,9.5,14.0,18.0,9.5,1,13,9,,2016-10-10 06:15:00,"[06:15:00,06:35:00)",1,13,12.0,9.0,1,0
1027,1,2016-10-10,10,17.08234027311098,7.0945988845975885,2.1213203435596424,0,6,56,27,22,22.722222222222218,19.33333333333333,20.5,14.0,18.0,20.5,1,13,19,,2016-10-10 06:35:00,"[06:35:00,06:55:00)",1,18,13.0,12.0,1,0
1028,1,2016-10-10,10,17.08234027311098,7.0945988845975885,4.242640687119285,0,6,56,27,31,22.722222222222218,19.33333333333333,28.0,14.0,18.0,28.0,1,13,25,,2016-10-10 06:55:00,"[06:55:00,07:15:00)",1,27,18.0,13.0,1,0
1029,1,2016-10-10,10,17.08234027311098,3.0,8.48528137423857,0,7,56,43,44,22.722222222222218,40.0,38.0,14.0,40.0,38.0,1,37,32,,2016-10-10 07:15:00,"[07:15:00,07:35:00)",1,37,27.0,18.0,1,0
1030,1,2016-10-10,10,17.08234027311098,3.0,21.92031021678297,0,7,56,43,65,22.722222222222218,40.0,49.5,14.0,40.0,49.5,1,37,34,,2016-10-10 07:35:00,"[07:35:00,07:55:00)",1,40,37.0,27.0,1,0
1031,1,2016-10-10,10,17.08234027311098,3.0,2.8284271247461903,0,7,56,43,38,22.722222222222218,40.0,36.0,14.0,40.0,36.0,1,37,34,,2016-10-10 07:55:00,"[07:55:00,08:15:00)",1,43,40.0,37.0,1,0
1098,1,2016-10-11,11,17.436938532805165,1.7320508075688772,7.071067811865476,0,6,52,23,39,24.194444444444446,21.0,34.0,18.5,20.0,34.0,3,20,29,,2016-10-11 06:15:00,"[06:15:00,06:35:00)",1,20,8.0,9.0,2,0
1099,1,2016-10-11,11,17.436938532805165,1.7320508075688772,7.071067811865476,0,6,52,23,47,24.194444444444446,21.0,42.0,18.5,20.0,42.0,3,20,37,,2016-10-11 06:35:00,"[06:35:00,06:55:00)",1,20,20.0,8.0,2,0
1100,1,2016-10-11,11,17.436938532805165,1.7320508075688772,14.849242404917495,0,6,52,23,67,24.194444444444446,21.0,56.5,18.5,20.0,56.5,3,20,46,,2016-10-11 06:55:00,"[06:55:00,07:15:00)",1,23,20.0,20.0,2,0
1101,1,2016-10-11,11,17.436938532805165,4.58257569495584,4.949747468305833,0,7,52,51,71,24.194444444444446,47.0,67.5,18.5,48.0,67.5,3,42,64,,2016-10-11 07:15:00,"[07:15:00,07:35:00)",1,42,23.0,20.0,2,0
1102,1,2016-10-11,11,17.436938532805165,4.58257569495584,4.949747468305833,0,7,52,51,96,24.194444444444446,47.0,92.5,18.5,48.0,92.5,3,42,89,,2016-10-11 07:35:00,"[07:35:00,07:55:00)",1,48,42.0,23.0,2,0
1103,1,2016-10-11,11,17.436938532805165,4.58257569495584,2.8284271247461903,0,7,52,51,93,24.194444444444446,47.0,91.0,18.5,48.0,91.0,3,42,89,,2016-10-11 07:55:00,"[07:55:00,08:15:00)",1,51,48.0,42.0,2,0
1170,1,2016-10-12,12,17.564213255981244,5.686240703077327,0.7071067811865476,0,6,60,26,2,22.88888888888889,19.666666666666668,1.5,13.5,18.0,1.5,4,15,1,,2016-10-12 06:15:00,"[06:15:00,06:35:00)",1,15,8.0,5.0,3,0
1171,1,2016-10-12,12,17.564213255981244,5.686240703077327,4.242640687119285,0,6,60,26,13,22.88888888888889,19.666666666666668,10.0,13.5,18.0,10.0,4,15,7,,2016-10-12 06:35:00,"[06:35:00,06:55:00)",1,18,15.0,8.0,3,0
1172,1,2016-10-12,12,17.564213255981244,5.686240703077327,7.7781745930520225,0,6,60,26,27,22.88888888888889,19.666666666666668,21.5,13.5,18.0,21.5,4,15,16,,2016-10-12 06:55:00,"[06:55:00,07:15:00)",1,26,18.0,15.0,3,0
1173,1,2016-10-12,12,17.564213255981244,13.527749258468685,6.363961030678928,0,7,60,49,31,22.88888888888889,36.0,26.5,13.5,37.0,26.5,4,22,22,,2016-10-12 07:15:00,"[07:15:00,07:35:00)",1,22,26.0,18.0,3,0
1174,1,2016-10-12,12,17.564213255981244,13.527749258468685,6.363961030678928,0,7,60,49,37,22.88888888888889,36.0,32.5,13.5,37.0,32.5,4,22,28,,2016-10-12 07:35:00,"[07:35:00,07:55:00)",1,37,22.0,26.0,3,0
1175,1,2016-10-12,12,17.564213255981244,13.527749258468685,2.1213203435596424,0,7,60,49,39,22.88888888888889,36.0,37.5,13.5,37.0,37.5,4,22,36,,2016-10-12 07:55:00,"[07:55:00,08:15:00)",1,49,37.0,22.0,3,0
1242,1,2016-10-13,13,19.403055723998,7.0,0.7071067811865476,0,6,60,33,9,25.75,26.0,8.5,16.0,26.0,8.5,3,19,8,,2016-10-13 06:15:00,"[06:15:00,06:35:00)",1,19,13.0,4.0,4,0
1243,1,2016-10-13,13,19.403055723998,7.0,0.0,0,6,60,33,18,25.75,26.0,18.0,16.0,26.0,18.0,3,19,18,,2016-10-13 06:35:00,"[06:35:00,06:55:00)",1,26,19.0,13.0,4,0
1244,1,2016-10-13,13,19.403055723998,7.0,4.949747468305833,0,6,60,33,28,25.75,26.0,24.5,16.0,26.0,24.5,3,19,21,,2016-10-13 06:55:00,"[06:55:00,07:15:00)",1,33,26.0,19.0,4,0
1245,1,2016-10-13,13,19.403055723998,8.504900548115383,2.1213203435596424,0,7,60,56,31,25.75,46.33333333333334,29.5,16.0,43.0,29.5,3,40,28,,2016-10-13 07:15:00,"[07:15:00,07:35:00)",1,40,33.0,26.0,4,0
1246,1,2016-10-13,13,19.403055723998,8.504900548115383,7.071067811865476,0,7,60,56,38,25.75,46.33333333333334,33.0,16.0,43.0,33.0,3,40,28,,2016-10-13 07:35:00,"[07:35:00,07:55:00)",1,43,40.0,33.0,4,0
1247,1,2016-10-13,13,19.403055723998,8.504900548115383,0.7071067811865476,0,7,60,56,43,25.75,46.33333333333334,42.5,16.0,43.0,42.5,3,40,42,,2016-10-13 07:55:00,"[07:55:00,08:15:00)",1,56,43.0,40.0,4,0
